datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-06,85,68.2,1.6,25.4
2021-09-06,05,158.7,2.82,77.6
2021-09-06,04,218.5,3.31,77.6
2021-09-06,15,43.4,1.16,36.1
2021-09-06,31,117.5,1.93,59.7
2021-09-06,69,163.1,2.81,36.1
2021-09-06,41,64.4,1.86,30.6
2021-09-06,16,62.3,1.66,36.9
2021-09-06,73,122.3,2.75,36.1
2021-09-06,68,178.2,2.79,21.9
2021-09-06,76,73.6,1.89,22.9
2021-09-06,10,72.0,1.64,21.9
2021-09-06,95,153.1,2.2,39.7
2021-09-06,42,111.0,2.28,36.1
2021-09-06,53,52.1,1.48,25.4
2021-09-06,02,48.3,1.38,34.9
2021-09-06,90,145.6,2.92,22.2
2021-09-06,19,49.5,1.25,36.9
2021-09-06,87,41.8,1.24,36.9
2021-09-06,86,64.7,1.68,36.9
2021-09-06,11,144.9,2.47,59.7
2021-09-06,84,239.0,3.25,77.6
2021-09-06,78,130.2,2.52,39.7
2021-09-06,61,44.4,1.34,22.9
2021-09-06,976,49.7,3.06,0.0
2021-09-06,58,42.1,1.44,22.2
2021-09-06,46,117.2,2.31,59.7
2021-09-06,54,81.5,1.8,21.9
2021-09-06,24,88.6,2.14,36.9
2021-09-06,50,38.9,1.22,22.9
2021-09-06,23,47.3,1.55,36.9
2021-09-06,89,74.1,1.8,22.2
2021-09-06,974,152.4,2.98,59.6
2021-09-06,56,77.6,1.99,28.4
2021-09-06,49,71.7,1.96,25.4
2021-09-06,94,137.4,2.04,39.7
2021-09-06,79,87.8,2.21,36.9
2021-09-06,2A,117.6,1.39,50.0
2021-09-06,45,108.4,2.83,30.6
2021-09-06,48,74.7,1.91,59.7
2021-09-06,66,118.2,1.8,59.7
2021-09-06,64,100.3,1.98,36.9
2021-09-06,14,51.2,1.32,22.9
2021-09-06,88,77.3,1.69,21.9
2021-09-06,47,93.2,1.83,36.9
2021-09-06,33,98.1,1.98,36.9
2021-09-06,75,118.8,1.44,39.7
2021-09-07,64,97.8,2.01,36.7
2021-09-07,03,46.2,1.34,37.2
2021-09-07,90,142.7,2.83,22.2
2021-09-07,58,42.6,1.48,22.2
2021-09-07,25,96.2,2.12,22.2
2021-09-07,49,65.1,1.8,23.2
2021-09-07,32,82.1,1.97,59.7
2021-09-07,08,74.6,2.14,22.2
2021-09-07,26,118.5,2.43,37.2
2021-09-07,93,169.0,2.31,40.5
2021-09-07,24,80.1,2.01,36.7
2021-09-07,971,369.4,9.38,270.4
2021-09-07,79,83.7,2.1,36.7
2021-09-07,39,78.7,1.8,22.2
2021-09-07,10,66.8,1.56,22.2
2021-09-07,76,67.1,1.76,23.8
2021-09-07,94,131.4,2.01,40.5
2021-09-07,34,195.6,2.92,59.7
2021-09-07,12,95.9,2.03,59.7
2021-09-07,37,65.6,1.74,32.8
2021-09-07,61,43.3,1.35,23.8
2021-09-07,92,119.6,1.95,40.5
2021-09-07,95,147.1,2.18,40.5
2021-09-07,36,60.8,1.85,32.8
2021-09-07,30,202.8,3.3,59.7
2021-09-07,31,109.9,1.85,59.7
2021-09-07,27,68.3,1.96,23.8
2021-09-07,04,214.9,3.29,77.0
2021-09-07,84,216.4,3.04,77.0
2021-09-07,23,48.2,1.53,36.7
2021-09-07,15,42.7,1.24,37.2
2021-09-07,02,44.9,1.27,35.6
2021-09-07,01,100.8,2.56,37.2
2021-09-07,28,89.9,2.51,32.8
2021-09-07,972,367.1,8.94,573.1
2021-09-07,52,78.0,1.98,22.2
2021-09-07,05,148.8,2.67,77.0
2021-09-07,11,133.9,2.36,59.7
2021-09-07,17,58.0,1.36,36.7
2021-09-07,88,76.8,1.69,22.2
2021-09-07,82,116.1,2.07,59.7
2021-09-07,80,35.3,1.14,35.6
2021-09-07,46,106.3,2.2,59.7
2021-09-07,77,122.4,2.14,40.5
2021-09-07,69,152.2,2.7,37.2
2021-09-07,53,46.8,1.36,23.2
2021-09-07,60,87.3,1.94,35.6
2021-09-07,66,114.0,1.75,59.7
2021-09-07,29,53.3,1.39,29.6
